# Dataset for pandas demo
Symbol	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45
ARS2	13.69849615	13.61089528	13.23047864	13.03336415	12.82146992	12.70024856	12.6960691	12.57135204	12.51849886	12.32581344	12.24242101	12.31326873	12.06222926	12.03067473	12.07126305	12.20147404
ARSB	9.360785874	9.437310604	9.366961966	9.183808637	8.993368526	8.885366763	8.892730422	8.972580911	8.675274374	8.7801368	8.793766271	8.67598572	8.816944487	8.543117093	8.683064514	9.007112886
ASF1B	11.23195036	11.12449406	11.23359865	11.19609474	9.929332633	9.841647021	9.548793839	9.533614077	9.855676648	9.879082322	9.629848664	9.337213532	8.994439085	8.825220488	9.038367862	8.614874396
ASPM	11.273585	11.29469656	11.54928269	11.58760111	11.64182463	11.69413904	11.60112921	11.19182116	11.6861697	11.49010203	11.06877331	11.13849655	9.761259196	9.497942207	9.312519135	9.504273028
ATAD2	11.61257236	11.75036013	11.9203303	11.72158229	10.41722388	10.35987016	10.45392689	10.29357727	10.54040999	10.37390498	10.14612514	9.952781703	9.829981748	9.732228134	9.682391674	9.716493334
ATAD3A	11.44127288	11.52110001	11.17848634	10.83561706	10.69161943	10.47132685	10.44988341	10.41493621	10.36198771	10.05353842	10.36939833	10.05851598	10.1103329	10.19920969	10.15109885	10.07638591
ATOH8	8.220118701	8.580443844	8.955389551	9.327680574	9.166912289	9.155421719	9.112400687	8.764821494	9.65636282	9.491083444	9.860995779	9.522784048	10.13666296	10.26408574	10.0861608	9.977502847
ATP13A5	9.940612156	9.858641491	10.11429133	10.35987016	10.83795362	10.90463724	11.17546917	11.17744701	11.48695175	11.66344021	11.71589679	11.70186902	11.88948049	11.97004761	11.93439227	11.81132644
ATP2A3	8.505607909	8.637125688	8.799647151	9.206426781	9.671081007	9.970679591	10.11835368	10.12738465	10.0190789	10.18910325	10.19721305	10.29875465	10.42207972	10.52358201	10.34299888	10.15659304
ATP5G1	12.27703902	12.33875718	12.37103589	12.14204887	11.58484905	11.45801474	11.49859103	11.44415628	11.59746752	11.53609985	11.67103811	11.4800247	11.56064964	11.60420035	11.56294177	11.75436464
ATP6V1B1	12.07796281	12.0545184	12.55343341	13.04523226	12.71736442	12.97587534	13.25926539	13.54193404	14.08224658	14.21284359	14.2966331	14.4084459	14.47334336	14.45411629	14.65948986	14.86672152
AURKA	12.77626633	12.70582852	12.67483184	12.7459659	12.43150826	12.23187185	12.05721369	11.8360901	12.43925257	12.33539438	12.02566329	11.83477837	10.84796684	10.75002276	10.81183934	10.58377585
AURKB	11.97004761	11.97533138	12.24537304	12.25319036	11.30298116	10.86844279	10.68883381	10.45439949	11.11112083	11.18082238	10.80428031	10.7279598	9.526806088	9.461092795	9.290678732	8.894960454
B3GALT3	10.36233237	9.998526793	9.404449916	9.0238563	9.428356359	9.303168665	9.227542638	9.201911713	9.005226311	9.12015972	9.128058294	9.034387727	9.043887538	8.884386097	9.009677466	9.200125319
BAIAP2L2	11.96375645	11.99466177	11.85836764	11.39979497	10.88086188	10.88739404	10.51069585	10.59570943	10.62289123	10.64104252	10.42246761	10.28567432	10.02066085	10.1191772	10.11292358	10.01481346
BAMBI	12.87718906	12.77679572	12.57065108	12.90701962	13.40700464	13.33280605	13.21526824	13.32561338	13.30789647	13.53202607	13.70322126	13.44276004	13.63795143	13.72199373	13.91606296	13.88570171
BARD1	10.22153543	10.70101846	10.41301916	10.13981646	9.597768406	9.822128441	9.577566378	9.318427739	9.632759025	9.462204943	9.476985248	9.33922802	9.134727622	9.157332249	9.273025414	9.558055751
BAT1	13.63279548	13.65495641	13.62938242	13.65733988	13.55202895	13.39348123	13.53889407	13.40118455	13.59129645	13.5067748	13.37060282	13.50566635	13.18623355	13.16135673	13.18183285	12.25492628
BBS1	9.931422283	9.811475757	10.25112608	10.33080603	10.58957679	10.73441786	10.5498533	10.58184787	10.60998833	10.60024345	10.53319739	10.52991049	10.54736258	10.73834567	10.62996461	10.55619047
BCAM	8.678962562	8.647290705	8.758263418	8.937356982	9.012524376	9.175750843	8.991473414	9.160212163	9.52745252	9.309912708	9.375628565	9.279445184	9.297843165	9.301540194	9.345874683	8.725125288
BCAS1	8.923925054	9.041485814	9.032618078	9.570131207	9.43942967	9.845269536	9.984321405	9.988149685	10.84119153	10.76771876	11.10946542	10.99866269	11.40195358	11.39303839	11.56183938	11.80829562
BCL2L12	12.07851985	12.07858609	11.88654418	11.91589341	11.73018193	11.49579711	11.40618878	11.49273399	11.3774585	11.33846538	11.24074505	11.17905609	10.89773997	10.80436107	10.77600129	10.88683778
BCL6	12.86410726	14.04314753	13.85282446	14.2008052	14.24593895	14.41405712	14.58407492	14.53321426	14.38011708	14.5216983	14.4786627	14.66895564	14.69997028	14.58184925	14.75165487	14.3643744
BEXL1	10.614784	10.74188496	10.97904465	11.35053294	11.21754408	11.31126738	11.48513348	11.55255991	11.71166354	11.88597378	11.99478625	11.89864854	12.12203955	12.16025789	12.11849749	12.15718637
BIN1	10.6353529	10.69866516	10.24297859	9.887032129	9.812846784	9.828624389	9.820240232	9.827068794	9.660951834	9.538972379	9.870093301	9.75623468	9.935883014	10.09904367	9.995725311	9.948155837
BIRC5	11.82295176	11.90417573	11.86281661	11.57770425	11.30926462	10.94129068	10.58398802	10.29736073	10.95727815	10.52018031	10.32537179	10.03422424	9.072335176	8.900949915	9.045494032	9.313221485
BLM	9.469003673	9.512065441	9.437310604	9.270502377	8.775700163	8.672629322	8.61949491	8.596792342	8.650625011	8.583849893	8.537400141	8.591979977	8.169797805	8.034269483	8.092715224	8.218648349
BMF	8.003994189	9.484590866	9.688412909	10.23677858	9.622390839	9.919211544	9.79949937	9.672704385	10.18756425	10.11738122	10.45136759	10.43787763	10.78788829	10.68009277	10.79126387	10.67511372
BMP5	11.23013005	11.25229222	11.19102969	11.34246477	11.28337745	11.40308689	11.22504266	11.33784977	11.30136145	11.30629601	11.23359865	11.02608951	10.87733315	10.89093221	10.63663258	10.74072372
BNIPL	8.80357619	8.851667334	9.099187301	9.332417109	9.02980254	9.131568245	9.249632219	9.304879344	9.716671517	9.548990079	9.596527661	9.74269742	9.700910975	9.705216442	9.762414466	10.03334854
BOLA2	14.61974868	14.53879523	14.41094889	14.03665614	13.84991984	13.86629119	13.80697472	13.92198523	13.5711107	13.40344323	13.44576163	13.64919745	13.54739427	13.64680849	13.5713019	13.88028641
BOLA3	13.82649086	13.92926953	13.98503233	13.63550442	12.96067885	12.87088948	12.96344654	12.84260914	13.02646854	12.84590287	12.87392703	12.76368708	12.78283677	12.74079314	12.65344091	12.6448588
BOP1	14.2648567	14.19187391	13.91269935	13.43160934	13.49429625	13.28883984	13.24698583	13.37775178	12.91749293	12.8791828	12.85651842	12.8185715	12.82844675	12.82476222	12.78291133	13.16744577
BRCA1	9.94098316	10.03710392	10.06159356	9.833829419	9.139315718	8.980141982	8.951005988	8.806893758	9.003010816	8.885427976	8.816547305	8.724686306	8.402657062	8.38659303	8.396024109	8.60576374
BRD8	10.51960382	10.98423525	11.36143628	11.2422461	11.09460944	11.30335267	11.28011866	11.31713764	11.24425207	11.21678686	11.11287804	11.00582667	11.03073382	10.7797519	10.84119153	10.62706413
BRI3BP	10.54619654	10.61793365	10.49021488	10.06534538	9.353974516	9.374229329	9.365853974	9.378913493	9.48541807	9.390966001	9.42980374	9.423519813	9.299048335	9.227697288	9.223076828	9.440556941
BSDC1	11.36737001	11.49661927	11.8153216	11.9810847	12.08248562	12.00279968	12.25707943	12.29263026	12.0198868	12.04550536	12.10194337	12.13330422	12.19829135	12.20852609	12.14970882	12.11445321
BTBD11	11.31269177	11.46936154	11.13353851	10.96823281	11.03119909	11.13942228	11.20758634	11.19609474	11.13725403	11.1982033	11.20758634	11.30453786	11.49166787	11.66688024	11.62412027	11.9569229
BTBD5	9.476985248	9.774324328	10.06734985	10.02030691	9.848572936	10.16849513	9.995814582	9.915957858	9.975662334	9.975921686	9.92314347	10.10714557	10.26138334	10.26095579	10.45892122	10.49973153
BTG1	13.49794912	14.32787225	14.45773987	14.56808362	14.45171575	14.50509906	14.8174303	14.83910578	14.81596157	14.82395068	14.80093266	14.87021	14.85118584	14.88440139	14.71092738	14.80093266
BTG3	10.42131348	10.30765321	10.07884488	9.734885652	9.251516772	9.232366845	9.318427739	9.341633195	9.303847739	9.475338347	9.188589721	9.100703517	9.034147214	9.179691411	9.096592435	9.532817511
BTN3A1	8.494122228	8.425775081	8.918483223	9.007914054	9.357711361	9.405485583	9.509289361	9.617016124	9.164900918	9.29918522	9.296036445	9.5504155	9.396748441	9.465674946	9.530978471	9.615003934
BTN3A2	9.046691311	9.1921352	9.699874771	9.792280609	10.23739619	10.38161531	10.51503231	10.65801982	10.13002306	10.1984216	10.31578666	10.44115659	10.47591772	10.41722388	10.43549495	10.21337521
BUB1	10.95291389	11.11706116	10.90700973	10.88393671	10.82510225	10.53279995	10.56089433	10.38891712	10.5849621	10.61161341	10.12004201	9.990123264	8.771961855	8.796993576	8.711190127	8.505389196
BUB1B	9.286164312	9.327680574	9.077869247	9.234735128	8.728219728	8.990742366	9.029933311	8.928249463	8.96875408	9.004700646	8.805874379	8.72788694	8.278158706	8.248716517	8.312207207	8.263806049
BUB3	12.1266036	12.04919407	11.92938999	11.94249446	12.00952475	12.06662551	11.78391649	11.79799111	11.58616764	11.6187401	11.41846501	11.35843883	11.08030144	11.22380753	11.16580561	11.22694259
BYSL	11.7276075	11.18953721	10.43144537	10.1573991	10.7279598	10.50568435	10.4140916	10.46982253	10.15524222	10.23909211	10.24740758	10.31399238	10.03809017	10.15069617	9.949824438	9.977954236
C10orf27	9.33786795	9.433773999	9.501896408	9.454053556	8.862837545	8.658513017	8.69477577	8.855420174	8.787986268	8.734027652	8.741738269	8.791140263	8.418781724	8.431418915	8.365849264	8.580443844
C10orf54	8.588674959	8.555280542	8.589343833	9.03564567	9.457312929	9.423108881	9.371030643	9.068603231	9.692740406	10.05052135	9.874903919	9.685592423	9.79560891	9.915021044	9.899388773	10.19568662
C10orf81	8.731829262	8.786152031	9.268114058	9.624344705	9.508986512	9.67322222	9.825905332	10.11207389	10.22248167	10.38070647	10.23954805	10.49570983	10.39115662	10.53423616	10.55388725	10.73036297
C11orf1	12.55258824	12.64483378	12.63777995	12.91279663	13.20204963	13.30385491	13.2442086	13.14241817	13.16744577	13.25083684	13.10535767	13.12538121	13.23047864	13.24626148	13.18268504	12.95738342
C11orf35	7.865325296	7.685921608	8.036434797	8.401297	8.288755963	8.188751244	8.20783121	8.389498606	8.708860789	8.665106525	8.684528919	8.747481701	8.669321038	8.585328961	8.746671881	8.31830773
C11orf48	13.42755962	13.32316233	13.04420656	12.47692582	12.82290943	12.46656723	12.44529471	12.53107248	12.41809065	12.21964034	12.58087112	12.60933697	12.54937182	12.41709949	12.36980366	12.69081138
C11orf52	10.74596702	10.93855732	11.50535246	11.86408822	11.67906014	11.66236472	11.72074275	11.83284499	12.06222926	12.03711335	12.13283146	12.23188736	12.32795726	12.14001571	12.36214802	12.46879799
C11orf54	10.07429952	9.863658187	10.16514635	10.4722746	10.90614057	10.86977943	10.87733315	11.02059916	10.87041426	10.90755799	10.78184516	10.9592301	11.0178682	10.81145709	10.76771876	10.71570837
C12orf24	9.042157479	9.146793143	8.665106525	8.17943693	8.182920033	8.170687103	8.0117307	8.048013277	8.06359358	8.057289239	8.018833353	7.817827619	7.830509017	8.05218209	7.954845146	7.693237203
C12orf32	11.47172501	11.60575203	11.64244496	11.7287195	11.56557499	11.40098946	11.34554726	11.27139168	11.07853954	11.25930652	11.07917807	11.00041176	10.64920074	10.72694855	10.70298826	10.66190682
C12orf47	12.13686272	12.27894786	12.6358646	12.845278	13.03265396	12.98769742	13.05480441	13.04086003	13.03631599	13.18498871	13.18374239	13.26782771	13.22682041	13.36040219	13.17071649	13.50144811
C12orf48	10.99035773	11.10552781	11.10327182	11.00447627	10.97318031	11.06846987	10.97175035	10.90700973	10.92602823	11.06512426	10.64038146	10.44274498	9.609669998	9.685216607	9.494387087	9.536206494
C13orf3	9.403840018	9.372326163	9.352988698	9.418185169	8.889945133	8.828466383	8.840071678	8.410809926	8.805105796	8.854422601	8.709433009	8.452937738	7.948157454	8.128371535	7.907445577	8.072927638
C14orf147	11.83057485	11.89870625	12.33707277	12.52668058	12.57394768	12.77280013	12.80380046	12.86086682	12.82476222	13.19741762	12.96049288	13.04420656	13.08286767	13.3090079	13.30274449	13.2546018
C14orf151	11.26088304	11.04937453	10.71828625	10.17218001	10.29950682	10.37904205	10.1934103	10.26756679	9.695011568	9.766164233	9.564154197	9.691354008	9.521022418	9.589316037	9.611618548	9.218013289
C14orf173	12.33989816	12.31559971	11.83454144	11.65943794	11.67570807	11.67543203	11.3890218	11.39043301	11.82577768	11.6665081	11.75154899	11.48015265	11.32934228	11.35618673	11.39483501	11.13502128
C14orf4	11.88061841	12.19765338	12.25492628	12.65135284	12.75920974	12.87718906	12.8390597	12.89878856	12.77859891	12.72698288	12.63777995	12.73788384	12.6787819	12.8864921	12.75920974	12.82360983
